"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"FXCADUSD","CAD/USD","Canadian dollar to US dollar daily exchange rate"

"OBSERVATIONS"
"date","FXCADUSD"
"2019-12-31","0.7699"
"2020-01-02","0.7697"
"2020-01-03","0.7699"
"2020-01-06","0.7710"
"2020-01-07","0.7687"
"2020-01-08","0.7677"
"2020-01-09","0.7646"
"2020-01-10","0.7662"
"2020-01-13","0.7664"
"2020-01-14","0.7656"
"2020-01-15","0.7663"
"2020-01-16","0.7666"
"2020-01-17","0.7656"
"2020-01-20","0.7661"
"2020-01-21","0.7653"
"2020-01-22","0.7624"
"2020-01-23","0.7609"
"2020-01-24","0.7610"
"2020-01-27","0.7586"
"2020-01-28","0.7588"
"2020-01-29","0.7578"
"2020-01-30","0.7566"
"2020-01-31","0.7557"
"2020-02-03","0.7533"
"2020-02-04","0.7531"
"2020-02-05","0.7525"
"2020-02-06","0.7524"
"2020-02-07","0.7516"
"2020-02-10","0.7508"
"2020-02-11","0.7523"
"2020-02-12","0.7545"
"2020-02-13","0.7544"
"2020-02-14","0.7548"
"2020-02-18","0.7543"
"2020-02-19","0.7558"
"2020-02-20","0.7545"
"2020-02-21","0.7562"
"2020-02-24","0.7531"
"2020-02-25","0.7530"
"2020-02-26","0.7515"
"2020-02-27","0.7484"
"2020-02-28","0.7447"
"2020-03-02","0.7487"
"2020-03-03","0.7483"
"2020-03-04","0.7467"
"2020-03-05","0.7454"
"2020-03-06","0.7451"
"2020-03-09","0.7354"
"2020-03-10","0.7283"
"2020-03-11","0.7275"
"2020-03-12","0.7236"
"2020-03-13","0.7194"
"2020-03-16","0.7161"
"2020-03-17","0.7055"
"2020-03-18","0.6898"
"2020-03-19","0.6899"
"2020-03-20","0.6977"
"2020-03-23","0.6905"
"2020-03-24","0.6901"
"2020-03-25","0.6992"
"2020-03-26","0.7104"
"2020-03-27","0.7114"
"2020-03-30","0.7064"
"2020-03-31","0.7049"
"2020-04-01","0.7034"
"2020-04-02","0.7053"
"2020-04-03","0.7071"
"2020-04-06","0.7079"
"2020-04-07","0.7150"
"2020-04-08","0.7126"
"2020-04-09","0.7151"
"2020-04-13","0.7176"
"2020-04-14","0.7192"
"2020-04-15","0.7099"
"2020-04-16","0.7081"
"2020-04-17","0.7124"
"2020-04-20","0.7099"
"2020-04-21","0.7041"
"2020-04-22","0.7065"
"2020-04-23","0.7111"
"2020-04-24","0.7097"
"2020-04-27","0.7116"
"2020-04-28","0.7154"
"2020-04-29","0.7183"
"2020-04-30","0.7189"
"2020-05-01","0.7109"
"2020-05-04","0.7100"
"2020-05-05","0.7127"
"2020-05-06","0.7080"
"2020-05-07","0.7135"
"2020-05-08","0.7177"
"2020-05-11","0.7137"
"2020-05-12","0.7135"
"2020-05-13","0.7106"
"2020-05-14","0.7097"
"2020-05-15","0.7095"
"2020-05-19","0.7198"
"2020-05-20","0.7198"
"2020-05-21","0.7176"
"2020-05-22","0.7135"
"2020-05-25","0.7151"
"2020-05-26","0.7244"
"2020-05-27","0.7257"
"2020-05-28","0.7265"
"2020-05-29","0.7253"
"2020-06-01","0.7337"
"2020-06-02","0.7399"
"2020-06-03","0.7405"
"2020-06-04","0.7403"
"2020-06-05","0.7447"
"2020-06-08","0.7472"
"2020-06-09","0.7450"
"2020-06-10","0.7468"
"2020-06-11","0.7378"
"2020-06-12","0.7355"
"2020-06-15","0.7351"
"2020-06-16","0.7376"
"2020-06-17","0.7377"
"2020-06-18","0.7359"
"2020-06-19","0.7360"
"2020-06-22","0.7383"
"2020-06-23","0.7399"
"2020-06-24","0.7358"
"2020-06-25","0.7329"
"2020-06-26","0.7312"
"2020-06-29","0.7309"
"2020-06-30","0.7338"
"2020-07-02","0.7361"
"2020-07-03","0.7372"
"2020-07-06","0.7384"
"2020-07-07","0.7362"
"2020-07-08","0.7387"
"2020-07-09","0.7377"
"2020-07-10","0.7356"
"2020-07-13","0.7371"
"2020-07-14","0.7344"
"2020-07-15","0.7389"
"2020-07-16","0.7384"
"2020-07-17","0.7367"
"2020-07-20","0.7384"
"2020-07-21","0.7437"
"2020-07-22","0.7452"
"2020-07-23","0.7467"
"2020-07-24","0.7451"
"2020-07-27","0.7475"
"2020-07-28","0.7478"
"2020-07-29","0.7485"
"2020-07-30","0.7445"
"2020-07-31","0.7460"
"2020-08-04","0.7478"
"2020-08-05","0.7540"
"2020-08-06","0.7523"
"2020-08-07","0.7476"
"2020-08-10","0.7488"
"2020-08-11","0.7524"
"2020-08-12","0.7545"
"2020-08-13","0.7566"
"2020-08-14","0.7547"
"2020-08-17","0.7572"
"2020-08-18","0.7593"
"2020-08-19","0.7592"
"2020-08-20","0.7579"
"2020-08-21","0.7573"
"2020-08-24","0.7572"
"2020-08-25","0.7579"
"2020-08-26","0.7602"
"2020-08-27","0.7617"
"2020-08-28","0.7635"
"2020-08-31","0.7668"
"2020-09-01","0.7660"
"2020-09-02","0.7653"
"2020-09-03","0.7620"
"2020-09-04","0.7640"
"2020-09-08","0.7581"
"2020-09-09","0.7591"
"2020-09-10","0.7598"
"2020-09-11","0.7584"
"2020-09-14","0.7590"
"2020-09-15","0.7590"
"2020-09-16","0.7594"
"2020-09-17","0.7576"
"2020-09-18","0.7584"
"2020-09-21","0.7523"
"2020-09-22","0.7513"
"2020-09-23","0.7486"
"2020-09-24","0.7477"
"2020-09-25","0.7465"
"2020-09-28","0.7475"
"2020-09-29","0.7468"
"2020-09-30","0.7497"
"2020-10-01","0.7523"
"2020-10-02","0.7513"
"2020-10-05","0.7536"
"2020-10-06","0.7535"
"2020-10-07","0.7533"
"2020-10-08","0.7564"
"2020-10-09","0.7613"
"2020-10-13","0.7614"
"2020-10-14","0.7611"
"2020-10-15","0.7559"
"2020-10-16","0.7580"
"2020-10-19","0.7596"
"2020-10-20","0.7612"
"2020-10-21","0.7621"
"2020-10-22","0.7609"
"2020-10-23","0.7610"
"2020-10-26","0.7575"
"2020-10-27","0.7596"
"2020-10-28","0.7518"
"2020-10-29","0.7491"
"2020-10-30","0.7509"
